name,team_key,number_of_moves,number_of_trades,clinched_playoffs,manager_name,division_id,draft_grade,rank,points_for,points_against,wins,losses,league_id,league_season
schWINNING,1001,"","",true,"","","",1,1719.14,1292.98,12,2,1,2013
Chief Keefers,1002,"","",true,"","","",4,1330.06,1285.98,10,4,1,2013
TakingaNap,1003,"","",true,"","","",2,1183.80,1255.62,8,6,1,2013
Killa_Kid_MoFo_Gangsta,1004,"","",true,"","","",3,1339.74,1354.36,7,7,1,2013
Smokin Jays,1005,"","",false,"","","",5,1341.74,1305.74,7,7,1,2013
Tity Boi,1006,"","",false,"","","",7,1342.80,1336.02,7,7,1,2013
OVO Crew,1007,"","",false,"","","",6,1357.82,1371.64,6,8,1,2013
imran,1008,"","",false,"","","",8,1051.74,1201.20,5,9,1,2013
The Bottom One Percent,1009,"","",false,"","","",9,1287.28,1341.64,4,10,1,2013
You Just Got Mrc'd,1010,"","",false,"","","",10,1325.12,1534.06,4,10,1,2013